ID,Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento,,Assegnatario,Tempo Effettivo,Hash Commit
M1,To-Do,New,Normal,"java:S1168:  ""Return an empty array instead of null.""",MAJOR,30min,Key: AYfl9rsld9SEFTPV56D1 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/dump/TapeInputStream.java - startLine: 102;startOffset: 23;endOffset: 27;endLine: 102,Maintenance (Code Smells),,Matteo Razionale,0h5m,32115c3c8f74b0aa070a6c78dfdf3e530cadeaf0
M2,To-Do,New,Normal,"java:S1168:  ""Return an empty array instead of null.""",MAJOR,30min,Key: AYfl9rnYd9SEFTPV56BV Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/AES256SHA256Decoder.java - startLine: 76;startOffset: 19;endOffset: 23;endLine: 76,Maintenance (Code Smells),,Matteo Razionale,rejected,
M3,To-Do,New,Normal,"java:S1171:  ""Move the contents of this initializer to a standard constructor or to field initializers.""",MAJOR,30min,Key: AYfl9rmAd9SEFTPV55_x Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/Coders.java - startLine: 222;startOffset: 8;endOffset: 9;endLine: 222,Maintenance (Code Smells),,Matteo Razionale,0h5m,f41fa5cc1ed3447dcb661f8de2ad72708628f6b8
M4,To-Do,New,Normal,"java:S1168:  ""Return an empty array instead of null.""",MAJOR,30min,Key: AYfl9rvQd9SEFTPV56Et Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java - startLine: 746;startOffset: 19;endOffset: 23;endLine: 746,Maintenance (Code Smells),,Matteo Razionale,rejected,
M5,To-Do,New,Normal,"java:S1168:  ""Return an empty array instead of null.""",MAJOR,30min,Key: AYfl9ru-d9SEFTPV56Eb Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/tar/TarFile.java - startLine: 437;startOffset: 19;endOffset: 23;endLine: 437,Maintenance (Code Smells),,Matteo Razionale,0h5m,dd2ae22ba12a21706fe7f72c88a94ed841f0729a
M6,To-Do,New,Normal,"java:S1119:  ""Refactor the code to remove this label and the need for it.""",MAJOR,30min,Key: AYfl9rqfd9SEFTPV56CW Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java - startLine: 335;startOffset: 8;endOffset: 12;endLine: 335,Maintenance (Code Smells),,Matteo Razionale,0h5m,640241102065eb5a9bc52c6d6ebcc7146c9f1bd0
M7,To-Do,New,Normal,"java:S1168:  ""Return an empty array instead of null.""",MAJOR,30min,Key: AYfl9rsMd9SEFTPV56Dr Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/X7875_NewUnix.java - startLine: 76;startOffset: 19;endOffset: 23;endLine: 76,Maintenance (Code Smells),,Matteo Razionale,rejected,
M8,To-Do,New,Normal,"java:S1168:  ""Return an empty array instead of null.""",MAJOR,30min,Key: AYfl9rrSd9SEFTPV56Cx Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java - startLine: 838;startOffset: 15;endOffset: 19;endLine: 838,Maintenance (Code Smells),,Matteo Razionale,0h5m,656e2e3681f2604f62beb3b2db541cda92eebcc8
M9,To-Do,New,Normal,"java:S1168:  ""Return an empty array instead of null.""",MAJOR,30min,Key: AYfl9rowd9SEFTPV56B8 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/ZipUtil.java - startLine: 169;startOffset: 15;endOffset: 19;endLine: 169,Maintenance (Code Smells),,Matteo Razionale,0h5m,644e1b4231adb8ecbee9d6b67f1efdb264dfa011
M10,To-Do,New,Normal,"java:S1168:  ""Return an empty array instead of null.""",MAJOR,30min,Key: AYfl9rcjd9SEFTPV55yG Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/CodeAttribute.java - startLine: 131;startOffset: 15;endOffset: 19;endLine: 131,Maintenance (Code Smells),,Matteo Razionale,0h5m,c3fb1fbc24b5475d4f4887b1acf07b713ebe80a6
