ID,Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento,,Assegnatario,Tempo Effettivo,Hash Commit
J1,To-Do,New,Normal,"java:S5786:  ""Remove this 'public' modifier.""",INFO,2min,Key: AYfl9r_3d9SEFTPV56Zt Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/examples/ParameterizedArchiverTest.java - startLine: 67;startOffset: 4;endOffset: 10;endLine: 67,Maintenance (Code Smells),,Matteo Razionale,0h1m,df6bf7e1a0c61741b15a8056a6b742dcde90f2fc
J2,To-Do,New,Normal,"java:S5786:  ""Remove this 'public' modifier.""",INFO,2min,Key: AYfl9r_3d9SEFTPV56Zu Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/examples/ParameterizedArchiverTest.java - startLine: 95;startOffset: 4;endOffset: 10;endLine: 95,Maintenance (Code Smells),,Matteo Razionale,0h1m,b4973b2fe090c6ad1593a9a64c9a77b20713db5b
J3,To-Do,New,Normal,"java:S5786:  ""Remove this 'public' modifier.""",INFO,2min,Key: AYfl9r_3d9SEFTPV56Zv Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/examples/ParameterizedArchiverTest.java - startLine: 107;startOffset: 4;endOffset: 10;endLine: 107,Maintenance (Code Smells),,Matteo Razionale,0h1m,351c337d3e2ecb311d831b38c55e0e0bdb42e6b8
J4,To-Do,New,Normal,"java:S5786:  ""Remove this 'public' modifier.""",INFO,2min,Key: AYfl9r_3d9SEFTPV56Zw Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/examples/ParameterizedArchiverTest.java - startLine: 116;startOffset: 4;endOffset: 10;endLine: 116,Maintenance (Code Smells),,Matteo Razionale,0h1m,90e0339fc57921b10f98d9482159cb2ca73b3054
J5,To-Do,New,Normal,"java:S5786:  ""Remove this 'public' modifier.""",INFO,2min,Key: AYfl9r_9d9SEFTPV56Z0 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/examples/ParameterizedExpanderTest.java - startLine: 103;startOffset: 4;endOffset: 10;endLine: 103,Maintenance (Code Smells),,Matteo Razionale,0h1m,579be1424608919b540e63ec5e8a4cb711af1a95
J6,To-Do,New,Normal,"java:S5786:  ""Remove this 'public' modifier.""",INFO,2min,Key: AYfl9r_9d9SEFTPV56Z1 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/examples/ParameterizedExpanderTest.java - startLine: 112;startOffset: 4;endOffset: 10;endLine: 112,Maintenance (Code Smells),,Matteo Razionale,0h1m,a740fa1d5aad2f86f7c42b5a3632e62db2d7b756
J7,To-Do,New,Normal,"java:S5786:  ""Remove this 'public' modifier.""",INFO,2min,Key: AYfl9r_9d9SEFTPV56Z2 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/examples/ParameterizedExpanderTest.java - startLine: 123;startOffset: 4;endOffset: 10;endLine: 123,Maintenance (Code Smells),,Matteo Razionale,0h1m,b42fff6f4f03460daa322cced96e97236ba462ac
J8,To-Do,New,Normal,"java:S5786:  ""Remove this 'public' modifier.""",INFO,2min,Key: AYfl9r_9d9SEFTPV56Zx Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/examples/ParameterizedExpanderTest.java - startLine: 62;startOffset: 4;endOffset: 10;endLine: 62,Maintenance (Code Smells),,Matteo Razionale,0h1m,00b1f4270d182643266bfb6ec2cde20d31122a55
J9,To-Do,New,Normal,"java:S5786:  ""Remove this 'public' modifier.""",INFO,2min,Key: AYfl9r_9d9SEFTPV56Zy Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/examples/ParameterizedExpanderTest.java - startLine: 83;startOffset: 4;endOffset: 10;endLine: 83,Maintenance (Code Smells),,Matteo Razionale,0h1m,c6720c84233977d936ff73e94c8060db4c815ed5
J10,To-Do,New,Normal,"java:S5786:  ""Remove this 'public' modifier.""",INFO,2min,Key: AYfl9r_9d9SEFTPV56Zz Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/examples/ParameterizedExpanderTest.java - startLine: 94;startOffset: 4;endOffset: 10;endLine: 94,Maintenance (Code Smells),,Matteo Razionale,0h1m,1ad4aa5318305ddbc4edebe465d35cb27a1fa020
