ID,Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento,,Assegnatario,Tempo Effettivo,Hash Commit
Z1,To-Do,New,Normal,"java:S1110:  ""Remove these useless parentheses.""",MAJOR,1min,Key: AYfl9rmKd9SEFTPV55_0 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZOutputFile.java - startLine: 871;startOffset: 25;endOffset: 26;endLine: 871,Maintenance (Code Smells),,Matteo Razionale,0h5m,81e76b309c80fea59de88a8b287677ecd4300f40
Z2,To-Do,New,Normal,"java:S1110:  ""Remove these useless parentheses.""",MAJOR,1min,Key: AYfl9rqWd9SEFTPV56CT Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/ZipEightByteInteger.java - startLine: 75;startOffset: 28;endOffset: 29;endLine: 75,Maintenance (Code Smells),,Matteo Razionale,0h1m,fcddfbe7c1e564620c78963059e64681745d5086
Z3,To-Do,New,Normal,"java:S3415:  ""Change this assertion to not compare two literals.""",MAJOR,2min,Key: AYfl9r_Pd9SEFTPV56Yz Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/FileTimesIT.java - startLine: 55;startOffset: 33;endOffset: 40;endLine: 55,Maintenance (Code Smells),,Matteo Razionale,0h5m,4539457c7772d33477c48304186de76460e9e374
Z4,To-Do,New,Normal,"java:S3415:  ""Change this assertion to not compare two literals.""",MAJOR,2min,Key: AYfl9r_Pd9SEFTPV56Y0 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/FileTimesIT.java - startLine: 65;startOffset: 33;endOffset: 54;endLine: 65,Maintenance (Code Smells),,Matteo Razionale,0h2m,6c0bd36796ab5582a55ed94355bca175edac1a73
Z5,To-Do,New,Normal,"java:S3415:  ""Change this assertion to not compare two literals.""",MAJOR,2min,Key: AYfl9r_Pd9SEFTPV56Y1 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/FileTimesIT.java - startLine: 84;startOffset: 33;endOffset: 40;endLine: 84,Maintenance (Code Smells),,Matteo Razionale,0h2m,825fc7a41e452cce84d6476f38c55181310ed3c0
Z6,To-Do,New,Normal,"java:S3415:  ""Change this assertion to not compare two literals.""",MAJOR,2min,Key: AYfl9r_Pd9SEFTPV56Y2 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/FileTimesIT.java - startLine: 93;startOffset: 33;endOffset: 54;endLine: 93,Maintenance (Code Smells),,Matteo Razionale,0h2m,996c463d426ca5e10e0d619860e51fdcebe4d9f8
Z7,To-Do,New,Normal,"java:S3415:  ""Change this assertion to not compare two literals.""",MAJOR,2min,Key: AYfl9r_Pd9SEFTPV56Y5 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/FileTimesIT.java - startLine: 213;startOffset: 33;endOffset: 49;endLine: 213,Maintenance (Code Smells),,Matteo Razionale,0h2m,978bb7e1f0f996e45b937cc4b924e76237b371cc
Z8,To-Do,New,Normal,"java:S3415:  ""Change this assertion to not compare two literals.""",MAJOR,2min,Key: AYfl9r_Pd9SEFTPV56Y6 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/FileTimesIT.java - startLine: 221;startOffset: 33;endOffset: 49;endLine: 221,Maintenance (Code Smells),,Matteo Razionale,0h2m,9fd062ada74f645eb05b99aa6a7ceb2690f92325
Z9,To-Do,New,Normal,"java:S3415:  ""Change this assertion to not compare two literals.""",MAJOR,2min,Key: AYfl9r_Pd9SEFTPV56Y9 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/FileTimesIT.java - startLine: 289;startOffset: 33;endOffset: 40;endLine: 289,Maintenance (Code Smells),,Matteo Razionale,0h2m,99993979a56927fa4efec36a328ff64716f221f3
Z10,To-Do,New,Normal,"java:S3415:  ""Change this assertion to not compare two literals.""",MAJOR,2min,Key: AYfl9r_Pd9SEFTPV56Y- Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/FileTimesIT.java - startLine: 299;startOffset: 33;endOffset: 54;endLine: 299,Maintenance (Code Smells),,Matteo Razionale,0h2m,a669f19c4acaec5765f719a47aa54c8c5a05a060
Z11,To-Do,New,Normal,"java:S3415:  ""Change this assertion to not compare two literals.""",MAJOR,2min,Key: AYfl9r_Pd9SEFTPV56ZD Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/FileTimesIT.java - startLine: 446;startOffset: 33;endOffset: 49;endLine: 446,Maintenance (Code Smells),,Matteo Razionale,0h2m,8b42a8d5b723ba670480ac1f9b960c94e70aafae
Z12,To-Do,New,Normal,"java:S3415:  ""Change this assertion to not compare two literals.""",MAJOR,2min,Key: AYfl9r_Pd9SEFTPV56Y3 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/FileTimesIT.java - startLine: 133;startOffset: 33;endOffset: 49;endLine: 133,Maintenance (Code Smells),,Matteo Razionale,0h2m,8b085d97a38e4882c2d243e509c31840da98e986
Z13,To-Do,New,Normal,"java:S3415:  ""Change this assertion to not compare two literals.""",MAJOR,2min,Key: AYfl9r_Pd9SEFTPV56Y4 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/FileTimesIT.java - startLine: 141;startOffset: 33;endOffset: 49;endLine: 141,Maintenance (Code Smells),,Matteo Razionale,0h2m,7d6a1fff66de3e3bc2b8af4af0d6ac4457ede41e
Z14,To-Do,New,Normal,"java:S3415:  ""Change this assertion to not compare two literals.""",MAJOR,2min,Key: AYfl9r_Pd9SEFTPV56Y7 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/FileTimesIT.java - startLine: 240;startOffset: 33;endOffset: 40;endLine: 240,Maintenance (Code Smells),,Matteo Razionale,0h2m,a1838b61a9c02e1cbea64c7d8075914eb33afb98
Z15,To-Do,New,Normal,"java:S3415:  ""Change this assertion to not compare two literals.""",MAJOR,2min,Key: AYfl9r_Pd9SEFTPV56Y8 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/FileTimesIT.java - startLine: 250;startOffset: 33;endOffset: 54;endLine: 250,Maintenance (Code Smells),,Matteo Razionale,0h2m,8020a89729cb50e91c5d5a4b5e0f25b9de199297
Z16,To-Do,New,Normal,"java:S3415:  ""Change this assertion to not compare two literals.""",MAJOR,2min,Key: AYfl9r_Pd9SEFTPV56Y_ Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/FileTimesIT.java - startLine: 337;startOffset: 33;endOffset: 40;endLine: 337,Maintenance (Code Smells),,Matteo Razionale,0h2m,9992a1a8e72100414976b5b4a59b3f15a50045f2
